"Line","Time","SideChain","1 Day_CL","1 Day_DG","1 Day_LPC","1 Day_PC","1 Day_PC e","1 Day_PC e_ether","1 Day_PE","1 Day_PE e_ether","1 Day_PE e","1 Day_PE p_vinylether","1 Day_PE p","1 Day_PG","1 Day_PI","1 Day_PS","1 Day_TG","1 Day_TG e","1 Day_TG e_ether","19 Day_CL","19 Day_DG","19 Day_LPC","19 Day_PC","19 Day_PC e","19 Day_PC e_ether","19 Day_PE","19 Day_PE e_ether","19 Day_PE e","19 Day_PE p_vinylether","19 Day_PE p","19 Day_PG","19 Day_PI","19 Day_PS","19 Day_TG","19 Day_TG e","19 Day_TG e_ether"
"s06","Older","14:0",4.2424,0,0.668,0.9418,0,0,0,0,0,0,0,0,0,0,1.4198,0,0,3.4369,0,1.0055,1.0536,0,0,0,0,0,0,0,0,0,0,3.2647,0,0
"s06","Older","14:1",0.7705,0,0.2458,0,100,0,0,0,0,0,0,0,0,0,0.7289,0,16.6332,0.5925,0,0.8185,0,100,0,0,0,0,0,0,0,0,0,0.2947,0,0
"s06","Older","16:0",0.4497,8.8229,11.1943,36.032,0,0,22.4065,7.7307,0,0,0,31.3945,22.0497,6.2107,27.4432,12.2007,0,0.6049,7.0899,6.0464,23.5639,0,0,23.7917,0,0,0,0,31.7742,23.9731,4.4737,38.0702,13.3151,0
"s06","Older","16:1",26.6539,38.0339,19.227,20.4354,0,0,6.8253,6.2906,0,0,0.0991,5.081,5.289,0.1875,14.6185,7.9774,0,48.0576,24.5933,35.9868,40.666,0,0,10.9323,20.5596,0,0,0.0023,16.3599,13.7831,0.2025,13.6317,20.0578,0
"s06","Older","18:1",1.725,13.59,29.62,14.6479,0,0,28.876,0,11.9085,0,12.7747,9.319,20.4197,50.3448,21.7288,48.7356,0,2.2826,17.651,37.599,24.4646,0,0,27.553,0,33.7618,0,13.8617,9.483,16.6711,56.1203,22.3889,33.4713,0
"s06","Older","18:2",42.6652,10.8564,21.5347,12.5593,0,0,6.2289,0.0348,16.0388,0,3.7531,14.0294,14.6011,10.3725,8.9807,8.3166,0,30.1544,16.0131,9.3655,0.8885,0,0,11.6559,0,13.4881,0,0,12.1249,16.654,5.7063,7.7578,0,0
"s06","Older","18:3",12.4157,10.3261,13.6944,12.6971,0,0,25.7261,0,14.5856,0,8.0427,19.6274,28.996,25.2389,1.469,0,8.2031,7.5195,9.6842,5.5453,5.8286,0,0,15.0234,0,16.5623,0,3.4791,11.3136,17.7898,16.5951,0.3858,0,20.6558
"s06","Older","18:4",3.4704,0,0.2042,0.2534,0,0,0,0,0,0,0,0,0,0,0.0865,0,0,2.0085,0,0.0547,0.7915,0,0,0.0038,0,0,0,0,0,0,0,0.1417,0,0
"s06","Older","20:4",3.385,3.6488,0,0,0,0,0,0,0,0,0,0,0,0,0.0466,0,0,3.6003,9.4948,0.0644,0.1997,0,0,0,0,0,0,0,0,0,0.9558,0.0198,0,0
"s06","Older","20:5",0.1272,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0926,0,0,0.1845,0.9644,0,0,0,0,0.0038,0,0,0,0,0,0,0.2973,1e-4,0,0
"s06","Older","22:5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-4,0,0
"s06","Older","22:6",4.095,0,0,0,0,0,0,0,7.7307,0,0,0,0,0,0.0145,0,0,1.5582,0,0,0,0,0,0.0109,0,0,0,0,0,0,0,7e-4,0,0
"s06","Older","18:0",0,1.8471,1.9231,1.2531,0,0,9.3654,0.1145,0,24.6696,0,0,8.6445,7.4582,5.5055,0,10.1744,0,3.7662,1.2834,0.9586,0,0,7.328,2.9453,0,17.3431,0,0,11.1289,5.5613,4.105,0,29.8795
"s06","Older","20:0",0,9.2262,0,0,0,100,0.3578,36.1278,0,0,0,0,0,0,0.4303,0,58.7393,0,6.55,0,0,0,100,0.2164,40.3073,0,0,0,0,0,0,0.324,0,36.9647
"s06","Older","4:0",0,3.6488,0,0,0,0,0,0,0,0,0,0,0,0,1.7345,0,0,0,4.193,0,0,0,0,0,0,0,0,0,0,0,0,1.272,0,0
"s06","Older","12:0",0,0,0.1028,0,0,0,0,49.7016,0,68.1144,0,0,0,0,1.1793,0,0,0,0,0.263,0,0,0,0,36.1878,0,68.6148,0,0,0,0,1.412,0,0
"s06","Older","16:2",0,0,0.2294,0,0,0,0,0,0,0,0,0,0,0,0.0134,0,0,0,0,0.1189,0,0,0,0,0,0,0,0,0,0,0.0071,0,0,0
"s06","Older","17:0",0,0,0.4805,0.631,0,0,0.0798,0,0,0,0,0,0,0,0.7761,4.1016,0,0,0,0.687,0.4161,0,0,0.0465,0,0,0,0,0,0,0,0.7885,10.3279,0
"s06","Older","17:1",0,0,0.5579,0.3085,0,0,0.0626,0,0,0,0,0,0,0,1.4364,0,0,0,0,0.7966,0.4308,0,0,0.0994,0,0,0,0,0,0,0,0.8506,0,0
"s06","Older","20:1",0,0,0.3179,0,0,0,0,0,0,0,0,0,0,0.1875,0.0516,0,0,0,0,0.3651,0,0,0,0.0886,0,0,0,0,0,0,0.2025,0.0064,0,0
"s06","Older","22:1",0,0,0,0.0438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0744,0,0,0,0,0,0,0,0,0,0,0,0,0
"s06","Older","24:2",0,0,0,0.0756,0,0,0,0,49.7016,0,45.2663,10.2744,0,0,0,0,0,0,0,0,0.1485,0,0,0,0,36.1878,0,37.467,9.4722,0,0,0,0,0
"s06","Older","25:1",0,0,0,8e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1461,0,0,0.038,0,0,0,0,0,0,0,0,0,0
"s06","Older","26:1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6319,0,0
"s06","Older","6:0",0,0,0,0.1195,0,0,0,0,0,0,0,0,0,0,1.0504,0,0,0,0,0,0.2229,0,0,0,0,0,0,0,0,0,0,0.6543,0,0
"s06","Older","8:0",0,0,0,8e-4,0,0,0,0,0,0,0,0,0,0,0.1285,0,0,0,0,0,0.1461,0,0,0,0,0,0,0,0,0,0,0.1915,0,0
"s06","Older","11:0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104,0,0,0,0,0,0,0,0,0.038,0,0,0,0,0,0,0,0.0092,0,0
"s06","Older","11:2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0383,0,0
"s06","Older","14:3",0,0,0,0,0,0,0.0718,0,0,0,0,0,0,0,0.0331,0,0,0,0,0,0,0,0,0.0312,0,0,0,0,0,0,0,0.0171,0,0
"s06","Older","19:0",0,0,0,0,0,0,0,0,0.0348,0,0,0,0,0,2.9008,4.1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2922,0.6922,10.3279,0
"s06","Older","20:2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5859,0.0478,0,0
"s06","Older","21:1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-4,0,0,0,0,0,0,0,0,3.1391,0,0,0,0,0,0,0,0,0,0
"s06","Older","26:0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223,0,0
"s06","Older","10:0",0,0,0,0,0,0,0,0,0,7.216,0,0,0,0,0.4501,0,0,0,0,0,0,0,0,0,0,0,14.0421,0,0,0,0,0.8293,0,0
"s06","Older","24:0",0,0,0,0,0,0,0,0,0,0,30.0641,0,0,0,0.1136,0,0,0,0,0,0,0,0,0,0,0,0,45.1899,0,0,0,0.2873,0,0
"s06","Older","10:2",0,0,0,0,0,0,0,0,0,0,0,10.2744,0,0,0.0164,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4722,0,0,0.0141,0,0
"s06","Older","10:1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s06","Older","10:3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013,0,0
"s06","Older","10:4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s06","Older","11:1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1249,0,0
"s06","Older","11:3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5151,8.3166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138,0,0
"s06","Older","11:4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0049,0,0
"s06","Older","12:1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0
"s06","Older","12:2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0409,0,0
"s06","Older","12:4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s06","Older","13:0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2242,0,0
"s06","Older","14:2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0076,0,0
"s06","Older","14:4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1864,0,0
"s06","Older","15:0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2563,0,0
"s06","Older","16:3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s06","Older","16:4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0614,0,0
"s06","Older","21:0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0724,0,0
"s06","Older","22:0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139,0,0
"s06","Older","22:3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0051,0,0
"s06","Older","22:4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s06","Older","23:0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0253,0,0
"s06","Older","23:1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273,0,0
"s06","Older","24:1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0327,0,0
"s06","Older","25:0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0062,0,0
"s06","Older","28:0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1212,0,0
"s06","Older","28:1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2072,0,0
"s06","Older","30:0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0347,0,0
"s06","Older","30:1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s06","Older","9:0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0467,0,0
